date,site,mean_copy,mean_copy_fill,missing_data,year,month,day,ihs_data,log_data,yday,site_year
2013-04-28,spen,NA,556.7866666666666,1,2013,4,28,7.015330149354286,6.323976571477555,118,spen_2013
2013-04-29,spen,490.425,490.425,0,2013,4,29,6.888420582102721,6.1973093338438625,119,spen_2013
2013-04-30,spen,NA,48324.735,1,2013,4,30,11.478846001024408,10.785719513479751,120,spen_2013
2013-05-01,spen,96159.045,96159.045,0,2013,5,1,12.166905998942308,11.473769217738974,121,spen_2013
2013-05-02,spen,NA,51714.9225,1,2013,5,2,11.546648835866119,10.853520991804213,122,spen_2013
2013-05-03,spen,7270.800000000001,7270.800000000001,0,2013,5,3,9.584768791027958,8.891759132728833,123,spen_2013
2013-05-04,spen,NA,6059.333333333334,1,2013,5,4,9.40250224937966,8.709520083051164,124,spen_2013
2013-05-05,spen,NA,4847.866666666667,1,2013,5,5,9.179441215818091,8.486500279648865,125,spen_2013
2013-05-06,spen,3636.4,3636.4,0,2013,5,6,8.89189665971352,8.199024419692918,126,spen_2013
2013-05-07,spen,NA,11573.828333333333,1,2013,5,7,10.049648832355127,9.356588048030922,127,spen_2013
2013-05-08,spen,NA,19511.256666666668,1,2013,5,8,10.57189402417243,9.878798094107449,128,spen_2013
2013-05-09,spen,27448.685,27448.685,0,2013,5,9,10.913220721399611,10.220109971461998,129,spen_2013
2013-05-10,spen,NA,21624.77375,1,2013,5,10,10.674742050412158,9.9816411115068,130,spen_2013
2013-05-11,spen,NA,15800.862500000001,1,2013,5,11,10.360966987694027,9.667883091814621,131,spen_2013
2013-05-12,spen,NA,9976.951250000002,1,2013,5,12,9.901180019734731,9.2081330626604,132,spen_2013
2013-05-13,spen,4153.04,4153.04,0,2013,5,13,9.024743070230587,8.331836633662686,133,spen_2013
2013-05-14,spen,NA,10496.675,1,2013,5,14,9.951961002158427,9.25890908305526,134,spen_2013
2013-05-15,spen,16840.31,16840.31,0,2013,5,15,10.424677877619432,9.731590075744629,135,spen_2013
2013-05-16,spen,NA,9499.705000000002,1,2013,5,16,9.852163207805111,9.159121285361483,136,spen_2013
2013-05-17,spen,2159.1,2159.1,0,2013,5,17,8.370593981370167,7.677909795902867,137,spen_2013
2013-05-18,spen,NA,12345.865,1,2013,5,18,10.114223650378506,9.421157463677888,138,spen_2013
2013-05-19,spen,NA,22532.629999999997,1,2013,5,19,10.7158669409104,10.022764138956752,139,spen_2013
2013-05-20,spen,32719.395,32719.395,0,2013,5,20,11.088870481119157,10.395753862770956,140,spen_2013
2013-05-21,spen,NA,54022.712499999994,1,2013,5,21,11.590307019615706,10.897178349531647,141,spen_2013
2013-05-22,spen,75326.03,75326.03,0,2013,5,22,11.92272821858801,11.229594313519197,142,spen_2013
2013-05-23,spen,NA,42589.042499999996,1,2013,5,23,11.352499461559075,10.65937576080359,143,spen_2013
2013-05-24,spen,9852.055,9852.055,0,2013,5,24,9.888582524983256,9.195536838363122,144,spen_2013
2013-05-25,spen,NA,29945.85,1,2013,5,25,11.000293210507618,10.307179422720132,145,spen_2013
2013-05-26,spen,NA,50039.645,1,2013,5,26,11.51371805089093,10.820590854186026,146,spen_2013
2013-05-27,spen,NA,70133.44,1,2013,5,27,11.851302172699745,11.158169250520768,147,spen_2013
2013-05-28,spen,90227.235,90227.235,0,2013,5,28,12.103233781199659,11.410097683675646,148,spen_2013
2013-05-29,spen,NA,85430.35500000001,1,2013,5,29,12.048603942180137,11.355468466958662,149,spen_2013
2013-05-30,spen,80633.475,80633.475,0,2013,5,30,11.990816345451211,11.297681566573058,150,spen_2013
2013-05-31,spen,NA,57501.33000000001,1,2013,5,31,11.652710537588277,10.959580747703589,151,spen_2013
2013-06-01,spen,NA,34369.18500000001,1,2013,6,1,11.138062837794315,10.4449447524305,152,spen_2013
2013-06-02,spen,11237.04,11237.04,0,2013,6,2,10.02011792611033,9.327059731018007,153,spen_2013
2013-06-03,spen,NA,9629.778333333334,1,2013,6,3,9.865762669437665,9.172719325340571,154,spen_2013
2013-06-04,spen,NA,8022.516666666667,1,2013,6,4,9.683154634916544,8.990132091868723,155,spen_2013
2013-06-05,spen,6415.255,6415.255,0,2013,6,5,9.459581213478739,8.766589893145591,156,spen_2013
2013-06-06,spen,NA,NA,1,2013,6,6,NA,NA,157,spen_2013
2013-06-07,spen,NA,NA,1,2013,6,7,NA,NA,158,spen_2013
